country,country_code,year,indicator_name,indicator_code,value
Austria,AUT,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.93791574279375
Austria,AUT,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.81413417002831
Austria,AUT,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.54686993188457
Austria,AUT,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.7666666666667
Austria,AUT,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.38191063351853
Austria,AUT,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.53089564152643
Austria,AUT,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.99837981429548
Austria,AUT,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.08126911385586
Austria,AUT,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.891591752655362
Austria,AUT,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.896563335260319
Austria,AUT,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.60581182954473
Belgium,BEL,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.14349136500041
Belgium,BEL,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.04901077613941
Belgium,BEL,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.597511728725
Belgium,BEL,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.44024851144084
Belgium,BEL,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.740791812220343
Belgium,BEL,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.43681956996438
Belgium,BEL,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.05316499865177
Belgium,BEL,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.12597086002616
Belgium,BEL,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.97385264653162
Belgium,BEL,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.561429152790157
Belgium,BEL,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.340002833356921
Switzerland,CHE,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.06234041976594
Switzerland,CHE,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.13540088016386
Switzerland,CHE,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.83502798644451
Switzerland,CHE,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.581814168489855
Switzerland,CHE,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.725874933313402
Switzerland,CHE,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.362886179940674
Switzerland,CHE,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.936335464113572
Switzerland,CHE,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.533787839825876
Switzerland,CHE,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.434618664285814
Switzerland,CHE,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.14390867228178
Switzerland,CHE,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.0132025387515945
Germany,DEU,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.2564981433876
Germany,DEU,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.94643667725823
Germany,DEU,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.87257438551096
Germany,DEU,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.06666666666673
Germany,DEU,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.144877925813981
Germany,DEU,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.44565976888253
Germany,DEU,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.73216879766941
Germany,DEU,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.50949485109628
Germany,DEU,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.491747008445174
Germany,DEU,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.514426137125456
Germany,DEU,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.906794000434245
Denmark,DNK,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.37220049768925
Denmark,DNK,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.30517811237605
Denmark,DNK,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.69656699889259
Denmark,DNK,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.85304543989689
Denmark,DNK,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.420711974110024
Denmark,DNK,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.75813157251162
Denmark,DNK,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.813609467455631
Denmark,DNK,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.14713216957601
Denmark,DNK,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.250000000000031
Denmark,DNK,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.452034153691574
Denmark,DNK,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.56402054044954
Spain,ESP,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.77417826534772
Spain,ESP,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.53236133492432
Spain,ESP,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.39057634118626
Spain,ESP,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.09313511976419
Spain,ESP,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.322753017299739
Spain,ESP,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.699518994458738
Spain,ESP,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.6749813686379
Spain,ESP,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95607633363963
Spain,ESP,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.202598000426452
Spain,ESP,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.500365709903242
Spain,ESP,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.151114837527234
Finland,FIN,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.56568906231615
Finland,FIN,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.25064322154762
Finland,FIN,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.12350773301402
Finland,FIN,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.19457432340007
Finland,FIN,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.290554555653239
Finland,FIN,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.0240939296343
Finland,FIN,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.08382098409305
Finland,FIN,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.754015047084346
Finland,FIN,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.356684500891695
Finland,FIN,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.207928839905268
Finland,FIN,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.04119621178439
France,FRA,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.99904942291462
France,FRA,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.8783572650844
France,FRA,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.22236748369725
France,FRA,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.64233141038393
France,FRA,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.476498852725065
France,FRA,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.10825492288293
France,FRA,2018,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.85081508315492
France,FRA,2017,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.03228275064681
France,FRA,2016,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.183334861123764
France,FRA,2015,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0375143805125181
France,FRA,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.507758822937989
United Kingdom,GBR,2024,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.2715729463592
United Kingdom,GBR,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.79396706793963
United Kingdom,GBR,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.92204883147902
United Kingdom,GBR,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.51837109614213
United Kingdom,GBR,2020,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.989486703772491
United Kingdom,GBR,2019,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.73810460086513
